epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.853,2.05885,3.21705,1.49662,0.79235,0.60377,0.77174,0.39938,1.58741,2.75364,1.32897,0.000660819,0.000660819,0.000660819
2,411.611,2.07747,2.27535,1.49482,0.78278,0.81132,0.83324,0.41415,1.62796,1.96252,1.34944,0.00128368,0.00128368,0.00128368
3,606.035,1.97697,1.92275,1.47601,0.78272,0.61183,0.72734,0.39688,1.74561,2.35672,1.58838,0.00186254,0.00186254,0.00186254
4,802.386,1.98543,1.59963,1.51215,0.87846,0.9434,0.91086,0.44583,1.56347,1.43983,1.44169,0.001802,0.001802,0.001802
5,999.274,1.99103,1.5096,1.44961,0.89006,0.81132,0.88711,0.44518,1.57234,1.32581,1.36441,0.001736,0.001736,0.001736
6,1620.64,1.92796,1.38931,1.42131,0.8979,0.84906,0.89799,0.4862,1.55682,1.37954,1.43925,0.00167,0.00167,0.00167
7,1832.15,1.93759,1.28599,1.42555,0.91222,0.83019,0.88527,0.46142,1.66785,1.13562,1.48839,0.001604,0.001604,0.001604
8,2029.48,1.89134,1.2843,1.43916,0.92483,0.9434,0.92601,0.52135,1.46806,0.93696,1.4123,0.001538,0.001538,0.001538
9,2226.49,1.83712,1.23434,1.40164,0.82727,0.81332,0.84912,0.41912,1.81142,1.16692,1.51892,0.001472,0.001472,0.001472
10,2422.02,1.87876,1.20929,1.40644,0.89025,0.96226,0.92104,0.51432,1.49967,1.00079,1.43776,0.001406,0.001406,0.001406
11,2620.37,1.86101,1.17707,1.37476,0.92938,0.9434,0.94568,0.52056,1.46458,0.96899,1.3286,0.00134,0.00134,0.00134
12,2821.07,1.86903,1.13048,1.40562,0.94151,0.9434,0.9406,0.51216,1.578,0.87509,1.40881,0.001274,0.001274,0.001274
13,3020.13,1.86875,1.0789,1.3922,0.94332,0.94204,0.93842,0.56638,1.38005,0.88403,1.32365,0.001208,0.001208,0.001208
14,3217.14,1.81473,1.10188,1.36093,0.94031,0.96226,0.9467,0.52246,1.51544,0.86788,1.35179,0.001142,0.001142,0.001142
15,3416.58,1.82416,1.0684,1.37732,0.93866,0.98113,0.95199,0.58487,1.39851,0.86026,1.3249,0.001076,0.001076,0.001076
16,3616.12,1.80959,1.03575,1.32534,0.93812,0.98113,0.95532,0.56383,1.4508,0.8917,1.27156,0.00101,0.00101,0.00101
17,3870.57,1.78941,1.08112,1.33259,0.91996,0.98113,0.92988,0.54167,1.43995,0.87311,1.30163,0.000944,0.000944,0.000944
18,4070.09,1.81599,1.06312,1.34341,0.92578,0.94141,0.93848,0.54435,1.45921,0.86886,1.346,0.000878,0.000878,0.000878
19,4278.02,1.7803,1.05079,1.33466,0.92501,0.98113,0.9457,0.60175,1.26462,0.7942,1.24482,0.000812,0.000812,0.000812
20,4519.34,1.75479,0.9968,1.31942,0.92526,0.93436,0.93102,0.5455,1.37469,0.84835,1.28554,0.000746,0.000746,0.000746
21,4717.96,1.71401,0.97063,1.35786,0.87558,0.9295,0.9148,0.52467,1.49271,0.85065,1.3641,0.00068,0.00068,0.00068
22,4927.07,1.70776,0.92625,1.34884,0.94024,0.98113,0.9479,0.5733,1.40149,0.79464,1.27906,0.000614,0.000614,0.000614
23,5124.43,1.67218,0.93614,1.3303,0.92642,0.98113,0.94682,0.59351,1.34503,0.72516,1.26863,0.000548,0.000548,0.000548
24,5321.98,1.66609,0.89905,1.31428,0.92852,0.98033,0.95544,0.56041,1.34009,0.73158,1.27974,0.000482,0.000482,0.000482
25,5523.62,1.64495,0.87714,1.31676,0.92837,0.97815,0.95382,0.60593,1.29897,0.7453,1.26859,0.000416,0.000416,0.000416
26,5741.37,1.63193,0.87958,1.30648,0.93809,0.98113,0.94775,0.61195,1.29001,0.72995,1.26947,0.00035,0.00035,0.00035
27,5953.97,1.59919,0.8381,1.32058,0.94233,0.98113,0.94637,0.61018,1.30349,0.69099,1.27944,0.000284,0.000284,0.000284
28,6148.36,1.59581,0.84615,1.30439,0.94115,0.98113,0.94942,0.60332,1.31984,0.69934,1.2703,0.000218,0.000218,0.000218
29,6343.58,1.56947,0.81375,1.2709,0.9423,0.98113,0.94945,0.61173,1.28377,0.68811,1.26903,0.000152,0.000152,0.000152
30,6536.87,1.57012,0.7897,1.27096,0.94242,0.98113,0.94711,0.62004,1.2744,0.67839,1.25209,8.6e-05,8.6e-05,8.6e-05
